"ปี","จังหวัด","ผลผลิต(ตัน)","สัดส่วน","เนื้อที่เก็บเกี่ยว(ไร่)","ผลผลิตต่อเนื้อที่เก็บเกี่ยว(กก.)"
"2019","สุราษฎร์ธานี","508,299","10%","2,055,092","247.34"
"2019","สงขลา","437,091","9%","1,816,227","240.66"
"2019","นครศรีธรรมราช","430,617","9%","1,779,768","241.95"
"2019","ตรัง","292,785","6%","1,195,090","244.99"
"2019","ยะลา","248,844","5%","1,076,871","231.08"
"2019","พัทลุง","201,632","4%","871,524","231.36"
"2019","บึงกาฬ","197,406","4%","845,773","233.40"
"2019","นราธิวาส","188,987","4%","832,961","226.89"
"2019","เลย","172,693","4%","762,071","226.61"
"2019","กระบี่","145,420","3%","581,501","250.08"
"2019","ชุมพร","126,494","3%","514,508","245.85"
"2019","อุดรธานี","119,764","2%","553,403","216.41"
"2019","พังงา","115,645","2%","482,881","239.49"
"2019","ระยอง","111,617","2%","553,779","201.56"
"2019","อุบลราชธานี","111,201","2%","539,475","206.13"
"2019","จันทบุรี","105,185","2%","529,078","198.81"
"2019","สตูล","99,051","2%","413,113","239.77"
"2019","ปัตตานี","82,265","2%","351,863","233.80"
"2019","สกลนคร","79,111","2%","356,068","222.18"
"2019","ศรีสะเกษ","74,708","2%","344,197","217.05"
"2019","นครพนม","74,459","2%","353,055","210.90"
"2019","ระนอง","71,605","1%","298,474","239.90"
"2019","ตราด","67,348","1%","311,625","216.12"
"2019","หนองคาย","65,694","1%","300,673","218.49"
"2019","บุรีรัมย์","65,555","1%","300,681","218.02"
"2019","เชียงราย","57,660","1%","276,864","208.26"
"2019","ประจวบคีรีขันธ์","51,871","1%","265,508","195.37"
"2019","พิษณุโลก","50,599","1%","298,909","169.28"
"2019","มุกดาหาร","50,410","1%","243,646","206.90"
"2019","ชลบุรี","43,123","1%","199,561","216.09"
"2019","กาฬสินธุ์","36,658","1%","183,073","200.24"
"2019","น่าน","35,908","1%","227,815","157.62"
"2019","สุรินทร์","35,279","1%","180,023","195.97"
"2019","ฉะเชิงเทรา","34,903","1%","184,739","188.93"
"2019","พะเยา","29,386","1%","146,664","200.36"
"2019","กาญจนบุรี","23,848","0%","127,093","187.64"
"2019","ชัยภูมิ","21,621","0%","110,988","194.80"
"2019","หนองบัวลำภู","20,958","0%","104,693","200.19"
"2019","ยโสธร","20,748","0%","99,838","207.82"
"2019","ร้อยเอ็ด","18,036","0%","97,040","185.86"
"2019","อำนาจเจริญ","15,050","0%","74,260","202.67"
"2019","ขอนแก่น","14,206","0%","79,695","178.25"
"2019","นครราชสีมา","12,313","0%","67,945","181.22"
"2019","ภูเก็ต","10,398","0%","55,270","188.13"
"2019","สระแก้ว","10,174","0%","56,018","181.62"
"2019","เพชรบูรณ์","9,246","0%","63,190","146.32"
"2019","สุโขทัย","8,034","0%","48,458","165.79"
"2019","ปราจีนบุรี","6,706","0%","33,923","197.68"
"2019","ราชบุรี","6,055","0%","38,613","156.81"
"2019","กำแพงเพชร","5,063","0%","28,406","178.24"
"2019","อุทัยธานี","4,868","0%","28,182","172.73"
"2019","เชียงใหม่","3,939","0%","22,425","175.65"
"2019","ลำปาง","3,915","0%","31,521","124.20"
"2019","แพร่","2,946","0%","19,036","154.76"
"2019","เพชรบุรี","2,189","0%","13,541","161.66"
"2019","อุตรดิตถ์","2,038","0%","16,881","120.73"
"2019","ตาก","1,702","0%","10,048","169.39"
"2019","มหาสารคาม","1,699","0%","10,714","158.58"
"2019","นครสวรรค์","1,119","0%","6,701","166.99"
"2019","ลำพูน","954","0%","5,543","172.11"
"2019","สุพรรณบุรี","612","0%","4,615","132.61"
"2019","สระบุรี","325","0%","2,161","150.39"
"2019","พิจิตร","183","0%","1,557","117.53"
"2019","แม่ฮ่องสอน","128","0%","1,024","125.00"
"2019","นครนายก","110","0%","627","175.44"
"2019","ลพบุรี","97","0%","882","109.98"
"2019","ปทุมธานี","57","0%","376","151.60"
"2019","ชัยนาท","9","0%","1,905","4.72"
"2019","นครปฐม","1","0%","10","100.00"
